Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR19509095_1										6.9776333397056005	5.02954001329073	18.467742669616115	12.00080108510619	49.79290129357038	0.0	0.0
SRR19509095_2										3.4018807293515767	4.2894466140499405	9.50651336810771	8.153771927428972	71.35301453787403	0.0	0.0
SRR19509096_1										7.335475757999162	4.765564182917823	19.345695522864727	14.187907942274297	47.250444120641134	0.0	0.0
SRR19509096_2										3.785504700692629	2.7116309706780575	8.31353919239905	16.87758238687399	64.84859977245054	0.0	0.0
SRR19509097_1										6.05238490103472	3.984749612431049	14.705988390957927	17.966975520063453	50.24425857158309	0.0	0.0
SRR19509097_2										2.0045426686375603	2.5453365540613624	8.313804665248584	8.66982730648592	75.75981540902043	0.0	0.0
SRR19509098_1										7.941216368980331	4.929685733664933	18.37124123897807	16.73343884241465	40.49559122767353	4.57969703820936	0.0
SRR19509098_2										4.552566131584897	1.640515487225865	10.998869545557314	11.602984399728692	67.94302509608863	0.0	0.0
SRR19509099_1										6.85006901612706	4.579525798053571	18.263938636800447	22.57176803592333	38.03312774098859	0.0	0.0
SRR19509099_2										4.408295913196931	3.736480701693079	8.296786818793352	7.7271853650865765	72.20222598850313	0.0	0.0
SRR19509100_1										7.577212058557478	4.017057726744079	17.102032527829568	24.61740109656815	37.26485628311396	0.0	0.0
SRR19509100_2										5.42561243515664	1.2599457254149051	6.8609352212520065	11.278591076076722	71.39784747733944	0.0	0.0
SRR19509101_1										6.695794833433921	4.631038498482671	22.333200159808232	15.800613731607177	40.7978510893311	0.0	0.0
SRR19509101_2										5.667241862955942	2.241565440620192	5.330624527163149	11.897212706454383	70.40317576355181	0.0	0.0
SRR19509102_1										7.748902888210571	5.453550188805285	23.51669558279135	20.49488323761632	33.99886809608194	0.0	0.0
SRR19509102_2										4.376385886457048	3.5534360706233823	5.806110425577318	17.63543415937578	64.7653154950224	0.0	0.0
SRR19509103_1										5.711794012761953	2.8036576204743855	20.832721715178778	9.548150898431091	48.640480775042526	5.314601987687047	0.0
SRR19509103_2										2.909863314135719	1.8149948624075016	5.188536692771969	7.903257838066538	78.80376123578527	0.0	0.0
SRR19509104_1										4.761505262078544	4.051194571063696	16.385618538922603	15.939110899820092	42.08917102454394	10.898887925650419	0.0
SRR19509104_2										1.9817854712566534	0.4576936342366025	2.524306235260121	12.211378021383894	80.16909495977703	0.0	0.0
SRR19509105_1										6.69356710528665	2.6870681497616458	17.475762823831882	8.260279597921762	55.65177025120963	0.0	0.0
SRR19509105_2										4.3644771376028855	1.1855237551107858	6.83193772429431	4.510882179649699	79.47115642128944	0.0	0.0
SRR19509106_1										5.775262762074215	3.607131720380799	10.62879468789552	17.38448557330741	55.471687730432706	0.0	0.0
SRR19509106_2										3.2888823669681018	1.8489645431700201	1.8177816094062402	8.223123062530954	82.1496047104573	0.0	0.0
SRR19509107_1										5.780001628679232	2.749753436060768	19.324279083234558	13.834725250861842	50.786742551054566	0.0	0.0
SRR19509107_2										2.5416444231308644	1.92908006768067	5.531175634958695	6.974366398537808	80.43503831920303	0.0	0.0
SRR19509108_1										6.195970471163794	3.3710919006119693	17.93298146557015	16.18650160444686	48.412211331077174	0.0	0.0
SRR19509108_2										2.5513335320626345	1.3799996493012328	10.001928843220115	12.113135422328991	70.82536954882603	0.0	0.0
SRR19509109_1										5.597067906712576	2.711121365943701	13.186432856483618	12.801285009406838	40.39348975897199	19.720634695253985	0.0
SRR19509109_2										1.7003301267260658	1.247737034539065	5.888147385609314	11.328138866209931	77.24876646196444	0.0	0.0
SRR19509110_1										5.670664285106745	3.8725865441864418	16.652207195713192	10.307901675597517	57.1582886790848	0.0	0.0
SRR19509110_2										2.625669813727992	0.48481755549885175	7.307136174194097	3.434549630007655	83.61912052394318	0.0	0.0
SRR19509111_1										5.707360070515645	4.395291611576319	12.220875569266932	29.32551050389305	38.65965182899956	0.0	0.0
SRR19509111_2										3.086895842515058	3.631372116938446	4.7111429410900545	11.727816953136477	73.57866901718819	0.0	0.0
SRR19509112_1										6.283015698206186	3.7658895339070053	19.88408340022026	14.259981707203256	47.80486439064454	0.0	0.0
SRR19509112_2										2.5796576633752077	1.99914135852015	12.330838295410002	9.068933977936647	70.93498590708006	0.0	0.0
SRR19509113_1										5.826768977150092	3.076112541531768	17.28316380724161	25.456955668289698	40.30557184252343	0.0	0.0
SRR19509113_2										2.267145928399657	1.9969238874584683	8.716785207467645	7.980897511068057	76.45839175397899	0.0	0.0
SRR19509114_1										5.763447131946849	4.850263383336674	21.708619652589174	13.994859923810218	45.419499480524216	0.0	0.0
SRR19509114_2										3.384794852632922	2.8452691249111424	13.388804841149774	3.7438710970964038	73.5696188688187	0.0	0.0
SRR19509115_1										5.717892692401069	2.5258557902403496	21.077931536780774	13.065307113377035	50.093712066035444	0.0	0.0
